ts_utc,item_id,upgrade_type,upgrade_subtype,from_star,to_star,close_price,lowest_price,highest_price,enhancement_count,timeframe,url
2025-10-24T12:01:14.705028+00:00,1032136,0,,11,12,130651.508681,0.0,0.0,,20m,https://msu.io/navigator/item/1032136?itemUpgrade=11&itemUpgradeSubType=&itemUpgradeType=0
2025-10-24T12:01:17.507361+00:00,1032136,0,,12,13,231474.970509,0.0,0.0,,20m,https://msu.io/navigator/item/1032136?itemUpgrade=12&itemUpgradeSubType=&itemUpgradeType=0
2025-10-24T12:01:20.390958+00:00,1032136,0,,13,14,373022.358334,0.0,0.0,,20m,https://msu.io/navigator/item/1032136?itemUpgrade=13&itemUpgradeSubType=&itemUpgradeType=0
2025-10-24T12:01:23.275249+00:00,1032136,0,,14,15,372763.674313,0.0,0.0,,20m,https://msu.io/navigator/item/1032136?itemUpgrade=14&itemUpgradeSubType=&itemUpgradeType=0
2025-10-24T12:01:26.299942+00:00,1032136,0,,15,16,729700.403328,702479.903989,724447.324508,5.0,20m,https://msu.io/navigator/item/1032136?itemUpgrade=15&itemUpgradeSubType=&itemUpgradeType=0
2025-10-24T12:01:29.407785+00:00,1032136,0,,16,17,720394.577238,688477.481586,712536.991598,4.0,20m,https://msu.io/navigator/item/1032136?itemUpgrade=16&itemUpgradeSubType=&itemUpgradeType=0
2025-10-24T12:01:32.213754+00:00,1032136,0,,17,18,661984.206111,0.0,0.0,,20m,https://msu.io/navigator/item/1032136?itemUpgrade=17&itemUpgradeSubType=&itemUpgradeType=0
2025-10-24T12:01:35.500850+00:00,1032136,0,,18,19,661984.206111,0.0,0.0,,20m,https://msu.io/navigator/item/1032136?itemUpgrade=18&itemUpgradeSubType=&itemUpgradeType=0
2025-10-24T12:01:38.396230+00:00,1032136,0,,19,20,661984.206111,0.0,0.0,,20m,https://msu.io/navigator/item/1032136?itemUpgrade=19&itemUpgradeSubType=&itemUpgradeType=0
2025-10-24T12:53:52.232257+00:00,1032136,0,,0,1,14789.105448,0.0,0.0,,20m,https://msu.io/navigator/item/1032136?itemUpgrade=0&itemUpgradeSubType=&itemUpgradeType=0
2025-10-24T12:53:55.476919+00:00,1032136,0,,1,2,19506.006467,0.0,0.0,,20m,https://msu.io/navigator/item/1032136?itemUpgrade=1&itemUpgradeSubType=&itemUpgradeType=0
